Date;Time;Eur/MWh
02.03.2026;09:00 - 09:15;121,57
02.03.2026;09:15 - 09:30;105,99
02.03.2026;09:30 - 09:45;90,71
02.03.2026;09:45 - 10:00;63,35
02.03.2026;10:00 - 10:15;89,63
02.03.2026;10:15 - 10:30;80,83
02.03.2026;10:30 - 10:45;73,88
02.03.2026;10:45 - 11:00;56,47
02.03.2026;11:00 - 11:15;83,85
02.03.2026;11:15 - 11:30;71,65
02.03.2026;11:30 - 11:45;52,54
02.03.2026;11:45 - 12:00;21,88
02.03.2026;12:00 - 12:15;46
02.03.2026;12:15 - 12:30;38,39
02.03.2026;12:30 - 12:45;23,27
02.03.2026;12:45 - 13:00;18,16
02.03.2026;13:00 - 13:15;20,26
02.03.2026;13:15 - 13:30;34,46
02.03.2026;13:30 - 13:45;50,59
02.03.2026;13:45 - 14:00;71,31
02.03.2026;14:00 - 14:15;16,33
02.03.2026;14:15 - 14:30;73,48
02.03.2026;14:30 - 14:45;90,37
02.03.2026;14:45 - 15:00;99
02.03.2026;15:00 - 15:15;74,26
02.03.2026;15:15 - 15:30;81,6
02.03.2026;15:30 - 15:45;94,53
02.03.2026;15:45 - 16:00;119,2
02.03.2026;16:00 - 16:15;86,16
02.03.2026;16:15 - 16:30;111,42
02.03.2026;16:30 - 16:45;134,17
02.03.2026;16:45 - 17:00;172,84
02.03.2026;17:00 - 17:15;124,86
02.03.2026;17:15 - 17:30;139,08
02.03.2026;17:30 - 17:45;192,3
02.03.2026;17:45 - 18:00;313,6
02.03.2026;18:00 - 18:15;248,2
02.03.2026;18:15 - 18:30;238,88
02.03.2026;18:30 - 18:45;179,11
02.03.2026;18:45 - 19:00;163,24
02.03.2026;19:00 - 19:15;226,32
02.03.2026;19:15 - 19:30;162,56
02.03.2026;19:30 - 19:45;145,77
02.03.2026;19:45 - 20:00;135,73
02.03.2026;20:00 - 20:15;146,39
02.03.2026;20:15 - 20:30;133,74
02.03.2026;20:30 - 20:45;126,11
02.03.2026;20:45 - 21:00;119,42
02.03.2026;21:00 - 21:15;131,05
02.03.2026;21:15 - 21:30;122,52
02.03.2026;21:30 - 21:45;112,88
02.03.2026;21:45 - 22:00;99,17
02.03.2026;22:00 - 22:15;115,72
02.03.2026;22:15 - 22:30;110,59
02.03.2026;22:30 - 22:45;101,93
02.03.2026;22:45 - 23:00;95,41
02.03.2026;23:00 - 23:15;98,86
02.03.2026;23:15 - 23:30;94,28
02.03.2026;23:30 - 23:45;92,58
02.03.2026;23:45 - 00:00;92,82
03.03.2026;00:00 - 00:15;99,96
03.03.2026;00:15 - 00:30;94,29
03.03.2026;00:30 - 00:45;92,89
03.03.2026;00:45 - 01:00;92,79
03.03.2026;01:00 - 01:15;93,99
03.03.2026;01:15 - 01:30;95,9
03.03.2026;01:30 - 01:45;95,67
03.03.2026;01:45 - 02:00;97
03.03.2026;02:00 - 02:15;93,97
03.03.2026;02:15 - 02:30;95,7
03.03.2026;02:30 - 02:45;97,93
03.03.2026;02:45 - 03:00;98,07
03.03.2026;03:00 - 03:15;101,05
03.03.2026;03:15 - 03:30;98,74
03.03.2026;03:30 - 03:45;102,73
03.03.2026;03:45 - 04:00;103,04
03.03.2026;04:00 - 04:15;102,51
03.03.2026;04:15 - 04:30;103,08
03.03.2026;04:30 - 04:45;103,12
03.03.2026;04:45 - 05:00;107,95
03.03.2026;05:00 - 05:15;99,95
03.03.2026;05:15 - 05:30;106,56
03.03.2026;05:30 - 05:45;111,92
03.03.2026;05:45 - 06:00;124,3
03.03.2026;06:00 - 06:15;116,31
03.03.2026;06:15 - 06:30;127,7
03.03.2026;06:30 - 06:45;135,93
03.03.2026;06:45 - 07:00;184,1
03.03.2026;07:00 - 07:15;171,44
03.03.2026;07:15 - 07:30;164,69
03.03.2026;07:30 - 07:45;160,84
03.03.2026;07:45 - 08:00;132,93
03.03.2026;08:00 - 08:15;194,53
03.03.2026;08:15 - 08:30;136,23
03.03.2026;08:30 - 08:45;117
03.03.2026;08:45 - 09:00;91,68
03.03.2026;09:00 - 09:15;129
03.03.2026;09:15 - 09:30;100,15
03.03.2026;09:30 - 09:45;90,75
03.03.2026;09:45 - 10:00;80,66
03.03.2026;10:00 - 10:15;100,16
03.03.2026;10:15 - 10:30;92,01
03.03.2026;10:30 - 10:45;85,14
03.03.2026;10:45 - 11:00;54,92
03.03.2026;11:00 - 11:15;88,3
03.03.2026;11:15 - 11:30;70,62
03.03.2026;11:30 - 11:45;46,31
03.03.2026;11:45 - 12:00;32,65
03.03.2026;12:00 - 12:15;47,72
03.03.2026;12:15 - 12:30;35,67
03.03.2026;12:30 - 12:45;26,01
03.03.2026;12:45 - 13:00;23,55
03.03.2026;13:00 - 13:15;23,66
03.03.2026;13:15 - 13:30;25,88
03.03.2026;13:30 - 13:45;43,81
03.03.2026;13:45 - 14:00;61,78
03.03.2026;14:00 - 14:15;35,5
03.03.2026;14:15 - 14:30;56,77
03.03.2026;14:30 - 14:45;85,21
03.03.2026;14:45 - 15:00;100,12
03.03.2026;15:00 - 15:15;67,98
03.03.2026;15:15 - 15:30;85,54
03.03.2026;15:30 - 15:45;98,55
03.03.2026;15:45 - 16:00;119,79
03.03.2026;16:00 - 16:15;86,43
03.03.2026;16:15 - 16:30;101,72
03.03.2026;16:30 - 16:45;122,74
03.03.2026;16:45 - 17:00;170,3
03.03.2026;17:00 - 17:15;87,38
03.03.2026;17:15 - 17:30;117,41
03.03.2026;17:30 - 17:45;154,78
03.03.2026;17:45 - 18:00;211,35
03.03.2026;18:00 - 18:15;162,28
03.03.2026;18:15 - 18:30;173,36
03.03.2026;18:30 - 18:45;194,19
03.03.2026;18:45 - 19:00;197,14
03.03.2026;19:00 - 19:15;223,23
03.03.2026;19:15 - 19:30;181,02
03.03.2026;19:30 - 19:45;158,95
03.03.2026;19:45 - 20:00;125,06
03.03.2026;20:00 - 20:15;143,27
03.03.2026;20:15 - 20:30;131,16
03.03.2026;20:30 - 20:45;117,19
03.03.2026;20:45 - 21:00;107,85
03.03.2026;21:00 - 21:15;132,84
03.03.2026;21:15 - 21:30;126,28
03.03.2026;21:30 - 21:45;121,86
03.03.2026;21:45 - 22:00;110,12
03.03.2026;22:00 - 22:15;128,81
03.03.2026;22:15 - 22:30;119,27
03.03.2026;22:30 - 22:45;112,44
03.03.2026;22:45 - 23:00;109,03
03.03.2026;23:00 - 23:15;118,86
03.03.2026;23:15 - 23:30;112,47
03.03.2026;23:30 - 23:45;108,76
03.03.2026;23:45 - 00:00;105,19
04.03.2026;00:00 - 00:15;148,89
04.03.2026;00:15 - 00:30;145,18
04.03.2026;00:30 - 00:45;137,93
04.03.2026;00:45 - 01:00;127,92
04.03.2026;01:00 - 01:15;149,81
04.03.2026;01:15 - 01:30;138,97
04.03.2026;01:30 - 01:45;137,93
04.03.2026;01:45 - 02:00;136,21
04.03.2026;02:00 - 02:15;137,91
04.03.2026;02:15 - 02:30;136,22
04.03.2026;02:30 - 02:45;134,92
04.03.2026;02:45 - 03:00;133,88
04.03.2026;03:00 - 03:15;134,68
04.03.2026;03:15 - 03:30;135,11
04.03.2026;03:30 - 03:45;135,09
04.03.2026;03:45 - 04:00;134,99
04.03.2026;04:00 - 04:15;134,81
04.03.2026;04:15 - 04:30;135,4
04.03.2026;04:30 - 04:45;138,88
04.03.2026;04:45 - 05:00;141,85
04.03.2026;05:00 - 05:15;137,97
04.03.2026;05:15 - 05:30;148,67
04.03.2026;05:30 - 05:45;151,98
04.03.2026;05:45 - 06:00;179,34
04.03.2026;06:00 - 06:15;145,69
04.03.2026;06:15 - 06:30;161,2
04.03.2026;06:30 - 06:45;225,93
04.03.2026;06:45 - 07:00;320,55
04.03.2026;07:00 - 07:15;304,5
04.03.2026;07:15 - 07:30;314,95
04.03.2026;07:30 - 07:45;225,9
04.03.2026;07:45 - 08:00;176,29
04.03.2026;08:00 - 08:15;274,24
04.03.2026;08:15 - 08:30;137,99
04.03.2026;08:30 - 08:45;116,28
04.03.2026;08:45 - 09:00;84,1
04.03.2026;09:00 - 09:15;125,07
04.03.2026;09:15 - 09:30;106
04.03.2026;09:30 - 09:45;85,06
04.03.2026;09:45 - 10:00;56,71
04.03.2026;10:00 - 10:15;102,36
04.03.2026;10:15 - 10:30;60,94
04.03.2026;10:30 - 10:45;71,87
04.03.2026;10:45 - 11:00;33,18
04.03.2026;11:00 - 11:15;101,05
04.03.2026;11:15 - 11:30;39,63
04.03.2026;11:30 - 11:45;19,02
04.03.2026;11:45 - 12:00;13,07
04.03.2026;12:00 - 12:15;47,15
04.03.2026;12:15 - 12:30;34,62
04.03.2026;12:30 - 12:45;37,27
04.03.2026;12:45 - 13:00;35,03
04.03.2026;13:00 - 13:15;42,69
04.03.2026;13:15 - 13:30;34,92
04.03.2026;13:30 - 13:45;39,87
04.03.2026;13:45 - 14:00;44,13
04.03.2026;14:00 - 14:15;27,72
04.03.2026;14:15 - 14:30;61,65
04.03.2026;14:30 - 14:45;84,95
04.03.2026;14:45 - 15:00;108,11
04.03.2026;15:00 - 15:15;76,5
04.03.2026;15:15 - 15:30;100,3
04.03.2026;15:30 - 15:45;109,56
04.03.2026;15:45 - 16:00;139,73
04.03.2026;16:00 - 16:15;97,81
04.03.2026;16:15 - 16:30;119,44
04.03.2026;16:30 - 16:45;145,11
04.03.2026;16:45 - 17:00;213,18
04.03.2026;17:00 - 17:15;112,81
04.03.2026;17:15 - 17:30;150,59
04.03.2026;17:30 - 17:45;211,18
04.03.2026;17:45 - 18:00;370,1
04.03.2026;18:00 - 18:15;245,71
04.03.2026;18:15 - 18:30;291,29
04.03.2026;18:30 - 18:45;298,98
04.03.2026;18:45 - 19:00;252,89
04.03.2026;19:00 - 19:15;297,63
04.03.2026;19:15 - 19:30;222,38
04.03.2026;19:30 - 19:45;210,57
04.03.2026;19:45 - 20:00;185,68
04.03.2026;20:00 - 20:15;193,6
04.03.2026;20:15 - 20:30;172
04.03.2026;20:30 - 20:45;159,29
04.03.2026;20:45 - 21:00;151,34
04.03.2026;21:00 - 21:15;179,71
04.03.2026;21:15 - 21:30;164,75
04.03.2026;21:30 - 21:45;154,61
04.03.2026;21:45 - 22:00;137,65
04.03.2026;22:00 - 22:15;165,32
04.03.2026;22:15 - 22:30;157,11
04.03.2026;22:30 - 22:45;145,47
04.03.2026;22:45 - 23:00;127,95
04.03.2026;23:00 - 23:15;146,67
04.03.2026;23:15 - 23:30;137,93
04.03.2026;23:30 - 23:45;124,48
04.03.2026;23:45 - 00:00;113,58
05.03.2026;00:00 - 00:15;135,68
05.03.2026;00:15 - 00:30;116,28
05.03.2026;00:30 - 00:45;112,49
05.03.2026;00:45 - 01:00;112,25
05.03.2026;01:00 - 01:15;115,1
05.03.2026;01:15 - 01:30;113,38
05.03.2026;01:30 - 01:45;112,54
05.03.2026;01:45 - 02:00;112,33
05.03.2026;02:00 - 02:15;112,47
05.03.2026;02:15 - 02:30;112,81
05.03.2026;02:30 - 02:45;112,65
05.03.2026;02:45 - 03:00;112,9
05.03.2026;03:00 - 03:15;112,64
05.03.2026;03:15 - 03:30;113,12
05.03.2026;03:30 - 03:45;113,94
05.03.2026;03:45 - 04:00;114,25
05.03.2026;04:00 - 04:15;114,45
05.03.2026;04:15 - 04:30;114,99
05.03.2026;04:30 - 04:45;114,49
05.03.2026;04:45 - 05:00;119,15
05.03.2026;05:00 - 05:15;111,93
05.03.2026;05:15 - 05:30;115,26
05.03.2026;05:30 - 05:45;143,59
05.03.2026;05:45 - 06:00;155,72
05.03.2026;06:00 - 06:15;130,68
05.03.2026;06:15 - 06:30;159,81
05.03.2026;06:30 - 06:45;173,59
05.03.2026;06:45 - 07:00;173,48
05.03.2026;07:00 - 07:15;203,26
05.03.2026;07:15 - 07:30;189,48
05.03.2026;07:30 - 07:45;160
05.03.2026;07:45 - 08:00;146,5
05.03.2026;08:00 - 08:15;176,43
05.03.2026;08:15 - 08:30;149,94
05.03.2026;08:30 - 08:45;133,55
05.03.2026;08:45 - 09:00;100,44
05.03.2026;09:00 - 09:15;132,9
05.03.2026;09:15 - 09:30;99,11
05.03.2026;09:30 - 09:45;89,79
05.03.2026;09:45 - 10:00;70,85
05.03.2026;10:00 - 10:15;100,49
05.03.2026;10:15 - 10:30;73,14
05.03.2026;10:30 - 10:45;67,03
05.03.2026;10:45 - 11:00;29,7
05.03.2026;11:00 - 11:15;62,14
05.03.2026;11:15 - 11:30;27,79
05.03.2026;11:30 - 11:45;16,61
05.03.2026;11:45 - 12:00;8,14
05.03.2026;12:00 - 12:15;11,61
05.03.2026;12:15 - 12:30;8,01
05.03.2026;12:30 - 12:45;7,28
05.03.2026;12:45 - 13:00;7,28
05.03.2026;13:00 - 13:15;0,57
05.03.2026;13:15 - 13:30;1,72
05.03.2026;13:30 - 13:45;1,25
05.03.2026;13:45 - 14:00;9,83
05.03.2026;14:00 - 14:15;9,52
05.03.2026;14:15 - 14:30;32,18
05.03.2026;14:30 - 14:45;39,86
05.03.2026;14:45 - 15:00;75,36
05.03.2026;15:00 - 15:15;60,68
05.03.2026;15:15 - 15:30;90,93
05.03.2026;15:30 - 15:45;102,11
05.03.2026;15:45 - 16:00;124,47
05.03.2026;16:00 - 16:15;94,65
05.03.2026;16:15 - 16:30;125,48
05.03.2026;16:30 - 16:45;151,37
05.03.2026;16:45 - 17:00;205,75
05.03.2026;17:00 - 17:15;121,98
05.03.2026;17:15 - 17:30;152,91
05.03.2026;17:30 - 17:45;173,17
